Operator of an  onshore crane | LOLER  applicable | Not Applicable | Equipment Familiarisation and Licenced by local authority  (Government or regulatory board | 
 | US applicable | Not Applicable | Equipment Familiarisation and Licenced by local authority  (Government or regulatory board and NCCCO Certified Crane Operator | 
Engineering  trade Technician  that uses lifting  equipment to  install, repair  or maintain  mechanical  or process  equipment | LOLER  applicable | Completed EAL Certificate of  Competency Level 1 A+C or OPITO Stage1 Banksman Slinger,  working towards Stage 2. or ECITB Level 2 Lifting and Slinging  Engineering | Completed EAL Certificate of  Competency Level 1  A+C or OPITO Stage1 Banksman Slinger,  working towards Stage 2. or ECITB Level 2 Lifting and Slinging  Engineering | 
 | US applicable | API Qualified Offshore Rigger  (API RP 2D 2-day course) | NCCCO  Certified Rigger Level I | 
Operator of a  forklift [onshore  or offshore] | LOLER  applicable | CITB Forklift Operator CPCS Forklift Operator RITITB Forklift Operator NPORS Forklift Operator | CITB Forklift Operator CPCS Forklift Operator RITITB Forklift Operator NPORS Forklift Operator | 
 | US applicable | OSHA 29 CFR 1910.178 | OSHA 29 CFR 1910.178 | 
Gives  instructions to  forklift operators | All areas | See Banksman above | See Banksman above | 
Person  responsible  to thoroughly  examine and test  lifting equipment | LOLER  applicable | LEEA Qualified for the class of  equipment being inspected. | LEEA Qualified for the class of  equipment being inspected. | 
 | US applicable | Qualified API lifting equipment  inspection & maintenance course. | NCCCO Crane Inspector | 
 | All areas | Classification society certification |  | 
Person  responsible to  manage and  issue equipment  from the rigging  loft | All areas | Trained in either Rigging Loft Management Course or Equipment Inspection Course |  | 
 |  |  |  | 
